codigo_producto;nombre_producto;marca;codigo_bodega;cantidad_inicial;costo_unitario;pvp
6530;KIT EMBRAGUE GOLF VENTO 1.8  1 GUIA POLO 1.6 00-02 GR;VARIOS;171101970;1;0;110
6531;EMPAQUE CABEZOTE GOLF III VENTO 2.0 METAL;VARIOS;NA;0;0;16
6532;FARO POST GOL 2001-06 LD 506;VARIOS;NA;3;0;40
6533;GRASA LIBRA;VARIOS;ROLL-1LB;3;0;7.5
6534;POLEA CIGUEÑAL GOL 2001 026.105.255.4;VARIOS;06-002-37-0687;1;0;28
6535;ESPEJO RECT 4P CONTROL L/D GOL 1480.1;VARIOS;KYUAX;1;0;58
6536;TEMPLADOR BANDA DISTRIBUCION  GOLF IV JETTA 2.0;VARIOS;VKM 11113;2;0;35
6537;TAPA DISTRIBUIDOR AMAZON GOL GOLF VENTO;VARIOS;TAD4111;6;0;12
6538;POLEA SECUNDARIA DISTRIBUCION AMAROK;VARIOS;NA;2;0;37
6539;GUIA VALVULA CORTA GOL AMAZON 36.5 056.103.419;VARIOS;NA;18;0;3
6540;CUBO RUEDA POST GOLF IV JETTA SK OCTAVIA ABS;VARIOS;3124;3;0;48
6541;RETEN CIGUEÑAL ESCARABAJO;VARIOS;171010291;5;0;10
6542;BUJIAS FR78 DELGADA 4 ELECT;VARIOS;NA;0;0;23
6543;BUJIAS NGK 7938 DENGADA 1ELECT JGO;VARIOS;NA;5;0;21
6544;POLEA DENTADA ARBOL GOL GRANDE;VARIOS;WT049109111C;2;0;18
6545;SENSOR VELOCIMETRO GOLF VENTO;VARIOS;73021;1;0;15
6546;CUBO RUEDA POST POLO BR SK FABIA;VARIOS;NA;0;0;37
6547;CUBO RUEDA GOL AMAZON ZBA.407.615;VARIOS;NKF8024G;2;0;20
6548;TERMOSTATO GOLF IV JETTA 2.0;VARIOS;06-002-37-0002;0;0;18
6549;TERMINAL R/INT GOL N-183;VARIOS;1074;8;0;13
6550;CHAQUETAS BANCADA ESCARABAJO INT 1.00 EXT 0.50;VARIOS;NA;1;0;52
6551;PASTILLAS GOL 2001 PD54;VARIOS;5565JJ;3;0;34
6552;ROTULA GOL 2001 LD D-H N-1015;VARIOS;RTL001;10;0;15
6553;TERMINAL R/EXT GOL 00-08  ESCAB L/D N-1027 ;VARIOS;TDC01005M;10;0;14
6554;TOMA AGUA C/TERMOSTATO POLO FOX;VARIOS;1548;0;0;10
6555;DIRECCIONAL DELANTERA GOL L/I 00-05;VARIOS;NA;0;0;9
6556;BOMBA GAS SANTANA 2.0 216910-E;VARIOS;NA;0;0;30
6557;CABLE FRENO MANO ESCARABAJO 1760MM 3650;VARIOS;CAF472;2;0;12
6558;CORNER SOPORTE FARO VIRTUS L/D 22-24;VARIOS;NA;0;0;65
6559;MASCARILLA GOLF III 93-99;VARIOS;NA;0;0;20
6560;CABLE EMBRAGUE POLO CL MANUAL;VARIOS;NA;0;0;28
6561;CABLE ACELERADOR GOLF VENTO 93-99;VARIOS;NA;4;0;30
6562;KIT ESTABILIZADO L/D GOL 1.6 09-10 ;VARIOS;NA;1;0;8
6563;CABLE EMBRAGUE GOLF VENTO 93-99 AUTOREGULABLE;VARIOS;CAE452;0;0;35
6564;LIQUIDO FRENO 12 ONZ;VARIOS;OTR-P33;2;0;7
6565;SOPORTE MOTOR L/D GOL 09-14 COMPLETO;VARIOS;NA;0;0;60
6566;PALANCA PLUMAS GOLF VENTO GOL 95-02;VARIOS;INP411;0;0;35
6567;KIT EMBRAGUE GOL 1.8 01-05 SANTANA ;VARIOS;5643;2;0;110
6568;FARO DELAN POLO BR L/D DEPO;VARIOS;NA;0;0;88
6569;FARO POST GOLF 93-99 L/I;VARIOS;NA;1;0;65
6570;FARO POST GOL 2001-06 L/I;VARIOS;NA;2;0;40
6571;EMPAQUES CAJA ESCARABAJO BRASILIA COMBI;VARIOS;NA;0;0;15
6572;KIT PALANCA FRENO MANO ESCARABAJO;VARIOS;KFR471;2;0;18
6573;FILTRO ACEITE D/V PSL562;VARIOS;05-04-37-0042;12;0;6
6574;EMBLEMA POST GOL 2001;VARIOS;37785687DA;0;0;10
6575;FLOTADOR GAS POLO BR 1.6;VARIOS;NA;0;0;18
6576;PROPULSORES GOL GOLF VENTO;VARIOS;1230.22106.VIK;0;0;10
6577;SILICON GRIS 3.35 OZ;VARIOS;CY-959;7;0;5
6578;BANDA DISTRIBUCION 135 D POLO BR FOX GOL 1.6;VARIOS;171010559;4;0;28
6579;FRONTAL U RADIADOR VIRTUS 22-23;VARIOS;NA;0;0;250
6580;ROTULA GOLF VENTO 93-99 POLO CL;VARIOS;930926;3;0;14
6581;SOPORTE MOTOR L/D GOLF IV JETTA 2.0;VARIOS;NA;1;0;45
6582;BOMBA ACEITE FOX POLO 1.4 GR POLO 1.6 BR;VARIOS;NA;1;0;38
6583;INYECTOR GOL 00-05 MULTIPUNTO 50100802Y;VARIOS;50100802;5;0;35
6584;EMPAQUES MOTOR GOLF III VENTO 2.0;VARIOS;NA;0;0;58
6585;AXIAL POLO CLASSIC 95-99 34x14 MM;VARIOS;NA;5;0;15
6586;BUJE MESA GOLF VENTO PEQUEÑO;VARIOS;357407182;3;0;5
6587;TEMPLADOR BANDA DISTRIBUCION PLASTICO 1.4 16 V USD;VARIOS;NA;1;0;15
6588;GUARDAPOLVO AMORTIGUDOR DENLANTERO GOL 2001;VARIOS;NA;0;0;10
6589;ACOPLE CAJA SEDAN T/A;VARIOS;NA;0;0;25
6590;GUARDAPOLVO BARRA DIRECCION GOLF VENTO;VARIOS;235DE;4;0;7
6591;AXIAL POLO BR GOL 09-15 32X16 MM;VARIOS;6Q0823803B;7;0;15
6592;MICA POST FUME ESCARABAJO;VARIOS;NA;1;0;10
6593;KIT CAUCHO PISTON  MORDAZA GOL 00-05 54 MM ;VARIOS;21041;2;0;12
6594;PISTONES GOL 1.8 0.50 C/RINES 2001;VARIOS;NA;0;0;145
6595;TOMA AGUA GOLF IV JETTA ;VARIOS;1312;5;0;10
6596;GUARDAPOLVO JUNTA GOL KIT;VARIOS;N21310;1;0;10
6597;PLATINOS DESARMABLES ESCARABAJO;VARIOS;NA;1;0;8
6898;LIQUIDO AGUA PLUMAS PEQUEÑO;VARIOS;NA;0;0;2
6599;SOPORTE AMORT GOLF MANHATTAN;VARIOS;6599;5;0;15
6600;PASTILLAS GOLF III 98-99 POLO CL PD367;VARIOS;NA;0;0;20
6601;ROTULA GOLF IV JETTA 2.0 01-08 L/D;VARIOS;731046;12;0;16
6602;ROTULA GOL 2001 L/I  D/H N-1014;VARIOS;TRI452;10;0;15
6603;RETEN GUIA VALVULA 8 MM GOL AMAZON 1.8 ;VARIOS;26109675;16;0;1
6604;ROTULA POLO BR 1.6 L/I 01-05;VARIOS;N-1064;4;0;15
6605;FOCO H1 100-80 W GOLF;VARIOS;NA;0;0;9
6606;RETEN CIGUEÑAL GOL 95-98 SANTANA C/BRIDA;VARIOS;NA;0;0;30
6607;TROMPO ACEITE ESCARABAJO;VARIOS;INC471;6;0;8
6608;KIT BUJES PALANCA GOL 5 MARCHAS S/PASADOR;VARIOS;KPC411;9;0;8
6609;RULIMAN GRANDE RUEDA GOL POST;VARIOS;SDSDD3;2;0;10
6610;SOPORTE MOTOR ESCARABAJO;VARIOS;44;2;0;8
6611;BASE PALANCA ESCARABAJO;VARIOS;NA;1;0;10
6612;RINES GOL 0.50 GRUESO;VARIOS;NA;0;0;38
6613;HORQUILLA EMBRAGUE ESCARABAJO T/A N39677;VARIOS;OEE301;1;0;15
6614;POLEA BOMBA AGUA GOL 95;VARIOS;PBH412;0;0;28
6615;BOBINA ENCENDIDO JETTA 2.0 POLO FABIA LAIZ ALT;VARIOS;SE4671-OST-0241;4;0;45
6616;MANIJA EXT GOLF C/LLAVES;VARIOS;1H0837207C;0;0;15
6617;SOPORTE MOTOR GOL 01-05 ZBA.199.339;VARIOS;823199381B;8;0;15
6618;DEPOSITO AGUA GOLF VENTO;VARIOS;THR412;1;0;21
6619;POLEA BOMBA AGUA GOL 00-05;VARIOS;NA;0;0;35
6620;FILTRO ACEITE ELEMENTO AMAROK TDI;VARIOS;AOE-78/1;4;0;5
6621;RUDON ESCARABAJO;VARIOS;171080069;5;0;8.5
6622;MAQUINA LEVANTAVIDRIOS GOL 98-07 L/I 4175E 4P;VARIOS;43828;0;0;51
6623;KIT TAPON COLECTOR GOLF VENTO;VARIOS;NA;4;0;5
6624;BANDA  POLY V 1740  GOL S/C;VARIOS;6PK174GY;2;0;15
6625;BARRA DIRECCION ESCARABAJO L/I;VARIOS;NA;0;0;10
6626;TAPAGRASERO POST GOLF GOL;VARIOS;NA;0;0;3
6627;GUIA RULIMAN EMBRAGUE POLO BR FOX;VARIOS;NA;5;0;4
6628;BANDA MH-30 PULGADAS;VARIOS;NA;0;0;7
6629;EMPAQUE BOMBA AGUA GOL 00-05;VARIOS;NA;3;0;3
6630;TUERCA PUNTA EJE GOL GOLF;VARIOS;6630;8;0;3
6631;TAPA DEPOSITO AGUA POLO FOX VENTO JETTA;VARIOS;TAR452;4;0;10
6632;GRASA SACHET;VARIOS;NA;3;0;3
6633;KIT BUJES PALANCA GOL  5 MARCHAS C/PASADOR;VARIOS;4432;0;0;9
6634;CASQUILLO CABLE MARCHAS GOL 09-12;VARIOS;NA;0;0;9.5
6635;T 3 SALIDAS ;VARIOS;NA;2;0;3
6636;VALVULAS ADMISION GOLF III 3 037.109.601 U/N;VARIOS;NA;2;0;8
6637;ROTULA GOL 09-13 L/D;VARIOS;RTD415;5;0;15
6638;BUJE BARRA DIRECCION GOL 2001;VARIOS;BUCO1111;4;0;4
6639;EMPAQUE ESCAPE PEQUEÑO;VARIOS;NA;1;0;2
6640;EMPAQUE MULTIPLE ESCAPE GOL AMAZON JGO;VARIOS;46821F1;2;0;8
6641;KIT ESTABILIZADOR GOL INT AMAZON SANTA;VARIOS;03-005-37-0051;10;0;5
6642;EMPAQUE  ADM GOLF 1.8;VARIOS;NA;1;0;6
6643;BOTON PALANCA INT ESPEJO GOL;VARIOS;NA;6;0;2
6644;SOPORTE AMORT GOL 01-05;VARIOS;MB38A;11;0;20
6645;SEGURO ROTULA POLO BR 1.6;VARIOS;N1064;2;0;6
6646;CAUCHO DESFOGUE GOL GOLF AMAZON SANTANA;VARIOS;BTV411;4;0;5
6647;RULIMAN EMBRAGUE GOL 00-08 1.8CC;VARIOS;VKC 2091 H;4;0;24
6648;SOPORTE CAJA REFORSADA ESCARABAJO;VARIOS;171030023;2;0;23
6649;SOPORTE MOTOR ALUMINIO GOL 09-14;VARIOS;NA;0;0;26
6650;RETEN RUEDA POST GOL AMAZON;VARIOS;NA;7;0;4
6651;ACOPLE COLUMNA DIRECCION ESCARABAJO;VARIOS;NA;0;0;9
6652;KIT ESTABILIZADOR GOL EXT AMAZON;VARIOS;03-005-37-0035;3;0;7
6653;BOMBA AGUA GOL TODOS;VARIOS;BOMB;4;0;38
6654;CHAPA GUANTERA ESCARABAJO;VARIOS;NA;0;0;18
6655;TUBO PLASTICO ACEITE GOLF VENTO;VARIOS;53103663;7;0;3
6656;TAPON CAJA GOLF VENTO;VARIOS;NA;2;0;4
6657;BUJIAS GRUESA NGK 2828 1 ELECT JGO ;VARIOS;NA;2;0;15
6658;RETEN MOTRIZ ESCARABAJO;VARIOS;RCD471;0;0;7
6659;PISTON MORDAZA GOL;VARIOS;NA;2;0;13
6660;RULIMAN MOTRIZ GOL AMOZON SANTANA GOLF;VARIOS;NA;4;0;15
6661;MANIJA CABLE  CAPOT GOL;VARIOS;NA;1;0;8
6662;VALVULA FILTRO GAS POLO BR 1.6;VARIOS;NA;1;0;8
6663;RETEN DELAN AMAZON GOL 95 -07;VARIOS;04-1173;20;0;4
6664;SOCKET DIRECCIONAL LATERAL GOLF VENTO;VARIOS;NA;1;0;8
6665;PERNO RULIMAN DISTRIBUCION AMAROK;VARIOS;NA;1;0;12
6666;ARANDELA ESPEJO ESCARABAJO;VARIOS;NA;5;0;2
6667;RETEN CIGUEÑAL GOL GOLF VENTO;VARIOS;NA;1;0;12
6668;PLATILLO AMORTIGUADOR SUPERIOR JETTA 00-01;VARIOS;NA;0;0;10
6669;DIRECCIONAL DELAN ESCARABAJO;VARIOS;171090254;2;0;22
6670;TROMPO ACEITE GOL 00-07;VARIOS;6670;7;0;10
6671;MOLDURA FARO POST GOL L/D;VARIOS;NA;0;0;15
6672;GUARDAFANGO GOLF L/I 95;VARIOS;NA;1;0;48
6674;GUARDAPOLVO GUARDAFANGO L/I   GOLF  95-99;VARIOS;NA;1;0;18
10111;GUARDAPOLVO PUNTA GOL;VARIOS;1860.05111-SER;4;0;10
6675;GUARDAPOLVO PUNTA GOLF VENTO;VARIOS;2588;0;0;8
6676;GUARDAPOLVO JUNTA GOLF VENTO L/D;VARIOS;GDD401;0;0;13
6677;TERMINAL GOLF VENTO L/D POLO CL;VARIOS;NA;2;0;15
10108;PLUMAS 22/16 GOL 2010 ;VARIOS;PLU007;1;9.38;21
6679;SOPORTE MOTOR POLO BR 1.6 LD;VARIOS;NA;0;0;55
6680;SOPORTE MOTOR FOX POLO BR L/I;VARIOS;NA;0;0;48
6681;KIT ZAPATAS POLO IND 17 PUNTA REDONDA;VARIOS;NA;0;0;68
6682;RINES GOL STD INCOMPLETO 95-98;VARIOS;NA;1;0;20
6683;BOTON PUERTA GOL GOLF VENTO;VARIOS;BOT;14;0;2
6684;SENSOR TEMP VERDE GOLF IV JETTA POLO 4 PINES;VARIOS;45;7;0;12
6685;TERMINAL JETTA GOLF IV L/D 2.0;VARIOS;TRD452;11;0;15
6686;TERMINAL JETTA GOLF IV  L/I 2.0;VARIOS;TS169491;0;0;15
6687;SENSOR TEMP 4 PINES GOLF VENTO;VARIOS;37;0;0;12
6688;SEGURO ROTULA GOLF VENTO;VARIOS;NA;32;0;6
6689;TEMPLADOR BANDA DISTRIBUCION GOL AMAZON SANTANA 1.8;VARIOS;57PPOUP;6;0;28
6690;HALOGENO USD JGO;VARIOS;NA;1;0;16
6691;KIT PASADOR TEMPLADOR GOL 00-08;VARIOS;NA;2;0;3
6692;CAPOT GOL 09-2011;VARIOS;NA;2;0;157
6693;KIT SEGURO PARACHOQUE DELAN GOLF VENTO;VARIOS;NA;1;0;13
6694;CAJA DIRECCION GOL 01-05 ;VARIOS;NA;0;0;266
6695;AXIAL GOLF IV JETTA SK 37X14MM;VARIOS;904;6;0;15
6696;INYECTOR FOX POLO BR 1.6 BOSCH;VARIOS;NA;1;0;78
6697;LETRA VENTO;VARIOS;NA;3;0;12
6699;BENDIX POLO 1.6;VARIOS;NA;2;0;30
